เลขที่จอง,หมายเลขห้อง,ชื่อลูกค้า,เบอร์โทร,วันเช็คอิน,วันเช็คเอาท์,จำนวนคืน,ราคาห้อง,ยอดรวม,ช่องทางชำระ,สถานะ
VP02121,B103,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02122,A103,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02123,A104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02124,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02125,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02126,B108,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02127,B101,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02128,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02129,N3,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02130,A101,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02131,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02132,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02133,N3,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02134,A103,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02135,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02136,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02137,N3,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02138,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02139,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02140,A104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02141,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02142,A106,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02143,A103,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02144,A102,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02145,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02146,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02147,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02148,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02149,B108,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02150,B109,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
